Method, Data Amount, Accuracy Rate, Adjusted Rand Score, Adjusted Mutual Info Score, Time
Spectral Clustering,15000,0.533466667,-0.001079581,0.00427872,34304
PSC,15000,0.587333333,0.207411868,0.237803442,61767
PSC predict,15000~30000,0.506933333,-0.059988369,0.064425462,42
PSC predict,0~30000,0.547133333,0.073711749,0.151114452,42
PSC predict,15000~45000,0.533766667,-0.048041478,0.047858182,106
PSC predict,0~45000,0.551622222,0.037109637,0.111173269,106
PSC predict,15000~60000,0.538555556,-0.048342827,0.047043103,165
PSC predict,0~60000,0.55075,0.015595847,0.094733188,165
Spectral Clustering,15000,0.536333333,0.002034447,0.00913112,33200
PSC,15000,0.491266667,-0.033025023,0.046302452,61498
PSC predict,15000~30000,0.515533333,-0.053982439,0.057622432,68
PSC predict,0~30000,0.5034,-0.043503731,0.051962442,68
PSC predict,15000~45000,0.524133333,-0.055268382,0.055684797,111
PSC predict,0~45000,0.513177778,-0.047853929,0.052557349,111
PSC predict,15000~60000,0.523222222,-0.059579388,0.059407279,167
PSC predict,0~60000,0.515233333,-0.052940797,0.056131072,167
Spectral Clustering,15000,0.534066667,0.000167554,0.0047345,34590
PSC,15000,0.5296,-0.004393182,0.005538033,61892
PSC predict,15000~30000,0.564266667,-0.013879266,0.013677423,43
PSC predict,0~30000,0.546933333,-0.009136224,0.009607728,43
PSC predict,15000~45000,0.5777,-0.008282198,0.007819929,100
PSC predict,0~45000,0.561666667,-0.006985859,0.007059297,100
PSC predict,15000~60000,0.581866667,-0.008507044,0.007938927,167
PSC predict,0~60000,0.5688,-0.007478579,0.007338703,167
Spectral Clustering,15000,0.536866667,0.003047883,0.00838143,44662
PSC,15000,0.444733333,0.032447686,0.127975206,61914
PSC predict,15000~30000,0.4552,0.047861542,0.146887959,43
PSC predict,0~30000,0.449966667,0.040154614,0.137431583,43
PSC predict,15000~45000,0.467733333,0.05582418,0.157698875,108
PSC predict,0~45000,0.460066667,0.048032015,0.147790985,108
PSC predict,15000~60000,0.472533333,0.055747024,0.159030539,172
PSC predict,0~60000,0.465583333,0.04992219,0.151266706,172
Spectral Clustering,15000,0.537133333,0.004032195,0.012031649,35095
PSC,15000,0.642933333,0.229422555,0.377934435,62401
PSC predict,15000~30000,0.6814,0.244937087,0.271760183,43
PSC predict,0~30000,0.662166667,0.237179821,0.324847309,43
PSC predict,15000~45000,0.666966667,0.361317982,0.444655075,99
PSC predict,0~45000,0.658955556,0.317352839,0.422414862,99
