Method, Data Amount, Accuracy Rate, Adjusted Rand Score, Adjusted Mutual Info Score, Time
Kmeans,15000,0.6464,0.2797177855793148,0.417421390097003,120
PSC,15000,0.5726,0.088721990055734,0.1544083941027747,200258
Kmeans,15000,0.6616,0.2368588090990604,0.3222826098061405,31
PSC,15000,0.5345333333333333,0.0,0.0,195126
Kmeans,15000,0.6618666666666667,0.2588751094766989,0.3657644361458088,17
PSC,15000,0.5345333333333333,0.0,0.0,128589
Kmeans,15000,0.6617333333333333,0.2582354163178024,0.3655458702275498,16
PSC,15000,0.5345333333333333,0.0,0.0,126127
Kmeans,15000,0.6619333333333334,0.258992990905156,0.3658802101491745,22
PSC,15000,0.5952,0.137005510718699,0.1998460528484031,128770
Kmeans,15000,0.6618,0.258741636507669,0.3656953290417368,21
PSC,15000,0.5345333333333333,0.0,0.0,125095
Kmeans,15000,0.6625333333333333,0.2597662666418055,0.3663799054902195,18
PSC,15000,0.5345333333333333,0.0,0.0,123589
Kmeans,15000,0.671,0.3021831825834205,0.420753486121295,19
PSC,15000,0.5345333333333333,0.0,0.0,132136
Kmeans,15000,0.6615333333333333,0.2588787560531048,0.3656386808054295,18
PSC,15000,0.5345333333333333,0.0,0.0,131476
Kmeans,15000,0.6470666666666667,0.2814282770394763,0.41839881399573,16
PSC,15000,0.7360666666666666,0.5317123096775027,0.4652394083144741,142823
Kmeans,30000,0.6718666666666666,0.2589980342689782,0.3654593991702694,141
PSC,30000,0.5561333333333334,0.0,0.0,453036
Kmeans,30000,0.6780666666666667,0.2809954077409957,0.3636784116351721,26
PSC,30000,0.5561333333333334,0.0,0.0,429193
Kmeans,30000,0.629,0.262487419359213,0.4084436258257848,23
PSC,30000,0.5561333333333334,0.0,0.0,423673
Kmeans,30000,0.6778666666666666,0.28059552925605,0.3631495990534678,56
PSC,30000,0.5561333333333334,0.0,0.0,812893
Kmeans,30000,0.6285,0.2611661026241086,0.4076929672274337,45
PSC,30000,0.7921333333333334,0.6796818638021953,0.568318023672805,616302
Kmeans,30000,0.6708666666666666,0.2580478642568307,0.3644785178774474,38
PSC,30000,0.5736666666666667,0.0260903847518045,0.0558010913582218,413689
Kmeans,30000,0.6717333333333333,0.2589510786396852,0.365328776179586,21
PSC,30000,0.5561333333333334,0.0,0.0,421985
Kmeans,30000,0.6712333333333333,0.2582556770291275,0.3648617860651065,27
PSC,30000,0.5561333333333334,0.0,0.0,418457
Kmeans,30000,0.6777,0.2801370831639779,0.3627390714156652,36
PSC,30000,0.5561333333333334,0.0,0.0,419575
Kmeans,30000,0.6286,0.2614301671775298,0.4078429677353324,25
PSC,30000,0.5561333333333334,0.0,0.0,420286
Kmeans,45000,0.6813333333333333,0.2920192750510098,0.3771922374057133,165
PSC,45000,0.8260888888888889,0.7251643846934265,0.56890466434955,502404
Kmeans,45000,0.6792888888888889,0.262456348734305,0.3695423257676383,29
PSC,45000,0.5684222222222223,0.0,0.0,524995
Kmeans,45000,0.6813333333333333,0.2920192750510098,0.3771922374057133,26
PSC,45000,0.5684222222222223,0.0,0.0,538144
Kmeans,45000,0.6791333333333334,0.2622131677393235,0.3693984673265287,31
PSC,45000,0.8174222222222223,0.722450351098719,0.5716731805476677,499245
Kmeans,45000,0.6813555555555556,0.2920608352757086,0.377252100064561,34
PSC,45000,0.5684222222222223,0.0,0.0,533724
Kmeans,45000,0.6792,0.2628284591620655,0.3691895887785445,35
PSC,45000,0.8149333333333333,0.7296810780701682,0.5832353998520128,500300
Kmeans,45000,0.6135333333333334,0.2436195607347846,0.3969268467978921,31
PSC,45000,0.5684222222222223,0.0,0.0,525153
Kmeans,45000,0.6753777777777777,0.2420914971383415,0.2689169964777799,29
PSC,45000,0.5684222222222223,0.0,0.0,540015
Kmeans,45000,0.6740444444444444,0.2420866781681428,0.2712683092680575,29
PSC,45000,0.5684222222222223,0.0,0.0,537808
Kmeans,45000,0.6791777777777778,0.2627875666735612,0.3691615504129333,39
PSC,45000,0.8051555555555555,0.7049916119595468,0.5436247960955913,500515
Kmeans,60000,0.67715,0.25561907319313254,0.36405893346550694,139
PSC,60000,0.5904666666666667,0.020991452211606965,0.042280345051683745,516333
Kmeans,60000,0.6776666666666666,0.2560965542715862,0.364799256505667,44
PSC,60000,0.5758666666666666,0.0,0.0,573856
Kmeans,60000,0.6784166666666667,0.2920159540437724,0.3849746916332892,44
PSC,60000,0.5758666666666666,0.0,0.0,576663
Kmeans,60000,0.6719,0.24061756179576343,0.27275301870976704,40
PSC,60000,0.5903166666666667,0.022047475692880802,0.04402625871627119,514779
Kmeans,60000,0.6781333333333334,0.2566184541153605,0.36542088345217383,40
PSC,60000,0.5758666666666666,0.0,0.0,582624
Kmeans,60000,0.67855,0.29233027558941443,0.3853853796781661,42
PSC,60000,0.5758666666666666,0.0,0.0,578187
Kmeans,60000,0.6783666666666667,0.2918707344920555,0.38483397610104764,47
PSC,60000,0.5758666666666666,0.0,0.0,579703
Kmeans,60000,0.6785833333333333,0.292378814201187,0.38543234830647305,41
PSC,60000,0.5758666666666666,0.0,0.0,578183
Kmeans,60000,0.6785833333333333,0.292378814201187,0.38543234830647305,40
PSC,60000,0.5758666666666666,0.0,0.0,584021
Kmeans,60000,0.678,0.25652253497379657,0.3652022463575855,43
PSC,60000,0.5758666666666666,0.0,0.0,585602
